City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Ribeira Grande,PT,2020-02-23 06:34:04,38.52,-28.7,53.46,82,4,9.78,clear sky,0,0
1,Sur,OM,2020-02-23 06:43:29,22.57,59.53,75.81,51,1,4.47,clear sky,0,0
2,Ushuaia,AR,2020-02-23 06:36:08,-54.8,-68.3,48.2,70,40,34.45,scattered clouds,0,0
3,Waw,SS,2020-02-23 06:46:52,7.7,28.0,78.22,13,36,8.81,scattered clouds,0,0
4,Pisco,PE,2020-02-23 06:37:47,-13.7,-76.22,73.4,88,75,6.93,broken clouds,0,0
5,Vanimo,PG,2020-02-23 06:41:49,-2.67,141.3,83.14,79,22,16.11,few clouds,0,0
6,Saskylakh,RU,2020-02-23 06:37:42,71.92,114.08,9.19,93,100,10.71,light snow,0,0.63
7,Sao Filipe,CV,2020-02-23 06:35:02,14.9,-24.5,67.03,81,100,14.16,overcast clouds,0,0
8,Narsaq,GL,2020-02-23 06:40:56,60.92,-46.05,24.8,85,100,8.05,heavy snow,0,0
9,Richards Bay,ZA,2020-02-23 06:41:25,-28.78,32.04,77.25,79,100,39.12,light rain,2.56,0
10,Vila Franca Do Campo,PT,2020-02-23 06:35:49,37.72,-25.43,57.2,82,40,3.36,scattered clouds,0,0
11,Victoria,HK,2020-02-23 06:37:43,22.29,114.16,79.0,41,27,6.93,scattered clouds,0,0
12,Castro,BR,2020-02-23 06:37:08,-24.79,-50.01,55.99,88,88,7.56,overcast clouds,0,0
13,Mudgee,AU,2020-02-23 06:44:03,-32.59,149.59,72.0,60,75,8.05,broken clouds,0,0
14,Abu Kamal,SY,2020-02-23 06:46:54,34.45,40.92,56.41,66,0,5.06,clear sky,0,0
15,Busselton,AU,2020-02-23 06:37:00,-33.65,115.33,87.01,29,99,8.97,overcast clouds,0,0
16,Mar Del Plata,AR,2020-02-23 06:37:13,-38.0,-57.56,57.0,93,0,6.93,clear sky,0,0
17,Dikson,RU,2020-02-23 06:37:06,73.51,80.55,26.46,96,100,15.57,light snow,0,0.5
18,Nisia Floresta,BR,2020-02-23 06:46:55,-6.09,-35.21,80.6,83,20,3.36,few clouds,0,0
19,Buraydah,SA,2020-02-23 06:46:55,26.33,43.98,59.0,51,6,9.17,clear sky,0,0
20,Balabac,PH,2020-02-23 06:46:55,7.99,117.06,83.84,63,17,20.71,few clouds,0,0
21,East London,ZA,2020-02-23 06:37:40,-33.02,27.91,64.4,68,96,11.41,light rain,0.19,0
22,Carnduff,CA,2020-02-23 06:46:56,49.17,-101.8,28.99,87,54,10.0,broken clouds,0,0
23,Puerto Ayora,EC,2020-02-23 06:37:09,-0.74,-90.35,78.01,100,68,4.63,light rain,0.56,0
24,Kirakira,SB,2020-02-23 06:46:56,-10.45,161.92,81.25,84,23,7.61,light rain,2.38,0
25,Saint-Philippe,RE,2020-02-23 06:33:36,-21.36,55.77,82.4,65,100,1.12,light rain,0.5,0
26,Old Orchard Beach,US,2020-02-23 06:46:56,43.52,-70.38,30.99,68,1,5.14,clear sky,0,0
27,Albany,US,2020-02-23 06:35:17,42.6,-73.97,28.99,73,1,4.85,clear sky,0,0
28,Pogranichnyy,RU,2020-02-23 06:46:57,44.41,131.38,30.34,63,0,7.0,clear sky,0,0
29,Raga,SS,2020-02-23 06:43:34,8.46,25.68,71.55,15,0,7.67,clear sky,0,0
30,Khatanga,RU,2020-02-23 06:34:19,71.97,102.5,13.98,77,100,16.46,overcast clouds,0,0
31,Pevek,RU,2020-02-23 06:37:49,69.7,170.31,-10.62,98,100,7.54,light snow,0,0.19
32,Rikitea,PF,2020-02-23 06:36:58,-23.12,-134.97,79.83,64,6,2.84,clear sky,0,0
33,Voh,NC,2020-02-23 06:46:58,-20.97,164.7,80.35,77,30,14.92,scattered clouds,0,0
34,Te Anau,NZ,2020-02-23 06:37:59,-45.42,167.72,59.31,67,40,7.76,scattered clouds,0,0
35,Port Alfred,ZA,2020-02-23 06:37:00,-33.59,26.89,69.01,72,55,3.0,light rain,0.13,0
36,Whitley Bay,GB,2020-02-23 06:46:59,55.04,-1.45,41.0,100,75,5.82,light rain,0,0
37,Jamestown,US,2020-02-23 06:34:07,42.1,-79.24,37.0,54,1,8.05,clear sky,0,0
38,New Norfolk,AU,2020-02-23 06:34:03,-42.78,147.06,77.0,46,40,18.34,scattered clouds,0,0
39,Yumen,CN,2020-02-23 06:42:14,40.28,97.2,44.76,20,0,29.15,clear sky,0,0
40,Mosetse,BW,2020-02-23 06:41:40,-20.75,26.65,78.69,60,76,5.5,broken clouds,0,0
41,Namibe,AO,2020-02-23 06:37:11,-15.2,12.15,75.02,77,76,11.77,broken clouds,0,0
42,Vaini,TO,2020-02-23 06:34:23,-21.2,-175.2,80.6,83,75,11.41,broken clouds,0,0
43,Kamaishi,JP,2020-02-23 06:47:00,39.27,141.88,35.6,74,75,18.34,light shower snow,0,0
44,Atuona,PF,2020-02-23 06:37:11,-9.8,-139.03,81.86,75,0,13.65,clear sky,0,0
45,Bethel,US,2020-02-23 06:33:34,41.37,-73.41,33.01,73,1,3.76,clear sky,0,0
46,Aklavik,CA,2020-02-23 06:37:20,68.22,-135.01,-4.0,83,90,4.7,light snow,0,0
47,Nikolskoye,RU,2020-02-23 06:37:45,59.7,30.79,37.99,80,90,13.42,overcast clouds,0,0
48,Mataura,NZ,2020-02-23 06:37:03,-46.19,168.86,59.0,80,57,15.99,broken clouds,0,0
49,Bredasdorp,ZA,2020-02-23 06:34:06,-34.53,20.04,68.0,56,10,8.05,clear sky,0,0
50,Punta Arenas,CL,2020-02-23 06:34:07,-53.15,-70.92,51.01,62,70,21.0,broken clouds,0,0
51,Karratha,AU,2020-02-23 06:35:29,-20.74,116.85,81.82,75,4,19.62,clear sky,0,0
52,Cherskiy,RU,2020-02-23 06:33:55,68.75,161.3,-20.87,97,95,5.99,overcast clouds,0,0
53,Chokurdakh,RU,2020-02-23 06:34:08,70.63,147.92,-12.41,97,100,2.21,overcast clouds,0,0
54,Sao Francisco,BR,2020-02-23 06:47:02,-15.95,-44.86,70.5,97,100,3.58,light rain,2.44,0
55,Korla,CN,2020-02-23 06:47:03,41.76,86.15,46.99,50,35,4.0,scattered clouds,0,0
56,Barrow,US,2020-02-23 06:44:31,71.29,-156.79,-18.4,75,1,9.17,clear sky,0,0
57,Portland,US,2020-02-23 06:37:41,45.52,-122.68,45.0,81,75,0.45,broken clouds,0,0
58,Kodiak,US,2020-02-23 06:37:20,57.79,-152.41,19.4,48,1,11.41,clear sky,0,0
59,Ayr,GB,2020-02-23 06:47:04,55.46,-4.63,39.2,93,75,14.99,light intensity shower rain,0,0
60,Beringovskiy,RU,2020-02-23 06:41:31,63.05,179.32,-9.49,91,50,4.68,scattered clouds,0,0
61,Avarua,CK,2020-02-23 06:34:05,-21.21,-159.78,82.4,88,99,2.24,moderate rain,4.31,0
62,Bowen,AU,2020-02-23 06:47:04,-20.02,148.23,78.8,88,75,2.24,broken clouds,0,0
63,Kapaa,US,2020-02-23 06:44:49,22.08,-159.32,73.4,83,90,6.93,overcast clouds,0,0
64,Kokstad,ZA,2020-02-23 06:47:05,-30.55,29.42,53.44,96,97,4.05,light rain,0.25,0
65,Kavieng,PG,2020-02-23 06:34:18,-2.57,150.8,84.02,75,15,12.44,few clouds,0,0
66,Thompson,CA,2020-02-23 06:33:57,55.74,-97.86,14.0,72,90,5.82,overcast clouds,0,0
67,Bilma,NE,2020-02-23 06:37:52,18.69,12.92,62.22,27,76,14.38,broken clouds,0,0
68,Gizo,SB,2020-02-23 06:37:35,-8.1,156.84,82.6,74,31,7.34,light rain,1.38,0
69,Bubaque,GW,2020-02-23 06:42:30,11.28,-15.83,77.94,62,66,12.41,broken clouds,0,0
70,Oussouye,SN,2020-02-23 06:37:58,12.48,-16.55,73.4,88,76,6.93,broken clouds,0,0
71,San Patricio,MX,2020-02-23 06:37:53,19.22,-104.7,75.33,81,0,5.44,clear sky,0,0
72,Ahipara,NZ,2020-02-23 06:42:19,-35.17,173.17,66.99,70,17,23.04,few clouds,0,0
73,Abeokuta,NG,2020-02-23 06:47:07,7.15,3.35,82.4,88,20,9.17,few clouds,0,0
74,Kingisepp,RU,2020-02-23 06:47:07,59.37,28.61,35.74,78,100,11.74,overcast clouds,0,0
75,Asau,RO,2020-02-23 06:41:43,46.43,26.4,43.0,69,100,4.7,overcast clouds,0,0
76,Juazeiro,BR,2020-02-23 06:47:08,-9.41,-40.5,78.8,83,40,4.7,scattered clouds,0,0
77,Adrar,MR,2020-02-23 06:37:21,20.5,-10.07,73.87,12,49,13.42,scattered clouds,0,0
78,Port Blair,IN,2020-02-23 06:40:41,11.67,92.75,87.8,62,20,11.41,haze,0,0
